Vendor Name,Vendor Email,Order Number,Store Name,Delivery Date,Product Name,Product Description,Category,Unit of Measurement,Quantity,Price per Unit,Expiration Date
"Wong, Mcdonald and Rodriguez",elizabethdavis@example.com,140ead02-1500-4660-897e-8773e7c34a6f,ABC Foodmart - Staten Island,6/9/2024,Water,"High-quality beverages item, Water, sourced responsibly.",beverages,kg,18,3.04,8/21/2024
"Wong, Mcdonald and Rodriguez",elizabethdavis@example.com,140ead02-1500-4660-897e-8773e7c34a6f,ABC Foodmart - Staten Island,6/9/2024,Cough Syrup,"High-quality pharmacy item, Cough Syrup, sourced responsibly.",pharmacy,pieces,100,42.15,2/27/2025
"Wong, Mcdonald and Rodriguez",elizabethdavis@example.com,140ead02-1500-4660-897e-8773e7c34a6f,ABC Foodmart - Staten Island,6/9/2024,Beef Steak,"High-quality meats item, Beef Steak, sourced responsibly.",meats,kg,93,72.48,11/24/2024
"Wong, Mcdonald and Rodriguez",elizabethdavis@example.com,140ead02-1500-4660-897e-8773e7c34a6f,ABC Foodmart - Staten Island,6/9/2024,Tulips,"High-quality floral item, Tulips, sourced responsibly.",floral,pieces,94,82.37,5/22/2025
"Wong, Mcdonald and Rodriguez",elizabethdavis@example.com,140ead02-1500-4660-897e-8773e7c34a6f,ABC Foodmart - Staten Island,6/9/2024,Lettuce,"High-quality fresh produce item, Lettuce, sourced responsibly.",fresh produce,kg,76,86.02,8/5/2024
Hamilton-Burton,scottedward@example.net,849766ff-6b13-4de9-8169-e3cfb6832bbe,ABC Foodmart - Staten Island,1/9/2025,Tulips,"High-quality floral item, Tulips, sourced responsibly.",floral,ml,5,3.74,5/20/2025
Hamilton-Burton,scottedward@example.net,849766ff-6b13-4de9-8169-e3cfb6832bbe,ABC Foodmart - Staten Island,1/9/2025,Cheese,"High-quality dairy item, Cheese, sourced responsibly.",dairy,pieces,58,93.59,11/13/2025
Hamilton-Burton,scottedward@example.net,849766ff-6b13-4de9-8169-e3cfb6832bbe,ABC Foodmart - Staten Island,1/9/2025,Band-Aids,"High-quality pharmacy item, Band-Aids, sourced responsibly.",pharmacy,kg,95,2.5,1/6/2026
Hamilton-Burton,scottedward@example.net,849766ff-6b13-4de9-8169-e3cfb6832bbe,ABC Foodmart - Staten Island,1/9/2025,Shrimp,"High-quality seafood item, Shrimp, sourced responsibly.",seafood,pieces,45,49.83,12/13/2025
Hamilton-Burton,scottedward@example.net,849766ff-6b13-4de9-8169-e3cfb6832bbe,ABC Foodmart - Staten Island,1/9/2025,Carrots,"High-quality fresh produce item, Carrots, sourced responsibly.",fresh produce,kg,45,70.27,11/12/2025
Cardenas Ltd,robinmoreno@example.com,4f83ccd2-5dad-4420-89c2-8365a60846d4,ABC Foodmart - Bay Ridge,6/22/2024,Frozen Vegetables,"High-quality frozen foods item, Frozen Vegetables, sourced responsibly.",frozen foods,kg,69,50.7,7/10/2024
Cardenas Ltd,robinmoreno@example.com,4f83ccd2-5dad-4420-89c2-8365a60846d4,ABC Foodmart - Bay Ridge,6/22/2024,Chicken Breast,"High-quality meats item, Chicken Breast, sourced responsibly.",meats,pieces,41,49.22,9/8/2024
Cardenas Ltd,robinmoreno@example.com,4f83ccd2-5dad-4420-89c2-8365a60846d4,ABC Foodmart - Bay Ridge,6/22/2024,Juice,"High-quality beverages item, Juice, sourced responsibly.",beverages,pieces,20,18.53,2/7/2025
Cardenas Ltd,robinmoreno@example.com,4f83ccd2-5dad-4420-89c2-8365a60846d4,ABC Foodmart - Bay Ridge,6/22/2024,Bread,"High-quality bakery item, Bread, sourced responsibly.",bakery,ml,93,30.18,12/8/2024
